TIME ms, IN1, IN2
25, 0.012695, -1.190186
24.951, 0.012817, -2.325439
24.902, 0.012939, -3.483887
24.854, 0.012939, -4.316406
24.805, 0.012939, -4.741211
24.756, 0.013428, -4.72168
24.707, 0.012939, -4.255371
24.658, 0.013184, -3.391113
24.609, 0.012695, -2.209473
24.561, 0.012817, -0.821533
24.512, 0.012817, 0.643311
24.463, 0.012817, 2.041016
24.414, 0.012695, 3.24585
24.365, 0.013062, 4.138184
24.316, 0.013184, 4.63623
24.268, 0.013062, 4.694824
24.219, 0.012939, 4.30542
24.17, 0.012573, 3.508301
24.121, 0.012817, 2.371826
24.072, 0.012817, 1.011963
24.023, 0.012939, -0.449219
23.975, 0.012695, -1.870117
23.926, 0.013062, -3.117676
23.877, 0.012695, -4.071045
23.828, 0.013184, -4.643555
23.779, 0.012695, -4.779053
23.73, 0.012939, -4.547119
23.682, 0.012573, -3.879395
23.633, 0.012939, -2.849121
23.584, 0.012939, -1.550293
23.535, 0.012939, -0.108643
23.486, 0.012817, 1.340332
23.438, 0.013306, 2.661133
23.389, 0.012695, 3.725586
23.34, 0.012695, 4.437256
23.291, 0.013062, 4.720459
23.242, 0.012817, 4.562988
23.193, 0.012817, 3.962402
23.145, 0.013062, 2.988281
23.096, 0.012817, 1.728516
23.047, 0.012695, 0.302734
22.998, 0.012695, -1.156006
22.949, 0.012695, -2.508545
22.9, 0.012939, -3.625488
22.852, 0.012695, -4.401855
22.803, 0.012451, -4.763184
22.754, 0.012817, -4.681396
22.705, 0.012451, -4.152832
22.656, 0.012451, -3.238525
22.607, 0.012695, -2.019043
22.559, 0.012573, -0.611572
22.51, 0.012817, 0.60791
22.461, 0.012573, 2.010498
22.412, 0.012695, 3.221436
22.363, 0.012939, 4.119873
22.314, 0.012695, 4.633789
22.266, 0.012451, 4.700928
22.217, 0.012939, 4.32251
22.168, 0.012451, 3.531494
22.119, 0.012573, 2.404785
22.07, 0.012329, 1.047363
22.021, 0.012451, -0.413818
21.973, 0.012451, -1.838379
21.924, 0.012695, -3.09082
21.875, 0.012817, -4.052734
21.826, 0.012817, -4.63501
21.777, 0.012573, -4.779053
21.729, 0.012695, -4.476318
21.68, 0.012207, -3.751221
21.631, 0.012817, -2.675781
21.582, 0.012573, -1.348877
21.533, 0.012695, 0.102539
21.484, 0.013184, 1.541748
21.436, 0.012939, 2.830811
21.387, 0.012695, 3.851318
21.338, 0.012817, 4.503174
21.289, 0.012573, 4.724121
21.24, 0.012817, 4.570312
21.191, 0.012573, 3.983154
21.143, 0.012573, 3.016357
21.094, 0.012939, 1.761475
21.045, 0.012573, 0.335693
20.996, 0.012451, -1.124268
20.947, 0.012695, -2.479248
20.898, 0.012939, -3.602295
20.85, 0.012451, -4.388428
20.801, 0.012817, -4.760742
20.752, 0.012573, -4.6875
20.703, 0.012695, -4.171143
20.654, 0.012451, -3.265381
20.605, 0.012817, -2.052002
20.557, 0.012451, -0.645752
20.508, 0.012939, 0.81543
20.459, 0.012817, 2.198486
20.41, 0.012817, 3.369141
20.361, 0.012451, 4.221191
20.313, 0.012451, 4.669189
20.264, 0.013306, 4.67041
20.215, 0.013062, 4.230957
20.166, 0.012817, 3.387451
20.117, 0.012573, 2.219238
20.068, 0.013062, 0.837402
20.02, 0.012817, -0.38208
19.971, 0.012817, -1.80542
19.922, 0.012817, -3.065186
19.873, 0.012695, -4.031982
19.824, 0.012817, -4.624023
19.775, 0.013062, -4.782715
19.727, 0.012573, -4.487305
19.678, 0.012817, -3.773193
19.629, 0.012939, -2.706299
19.58, 0.012695, -1.383057
19.531, 0.012695, 0.068359
19.482, 0.012939, 1.508789
19.434, 0.012329, 2.807617
19.385, 0.013672, 3.830566
19.336, 0.012817, 4.494629
19.287, 0.012939, 4.729004
19.238, 0.013062, 4.512939
19.189, 0.012817, 3.867188
19.141, 0.012573, 2.854004
19.092, 0.012451, 1.568604
19.043, 0.012695, 0.126953
18.994, 0.012695, -1.324463
18.945, 0.012939, -2.65625
18.896, 0.012695, -3.737793
18.848, 0.012695, -4.466553
18.799, 0.012817, -4.758301
18.75, 0.012939, -4.694824
18.701, 0.012817, -4.190674
18.652, 0.012817, -3.288574
18.604, 0.012817, -2.08252
18.555, 0.012817, -0.681152
18.506, 0.012939, 0.78125
18.457, 0.012817, 2.167969
18.408, 0.012817, 3.344727
18.359, 0.012695, 4.206543
18.311, 0.012817, 4.660645
18.262, 0.012695, 4.678955
18.213, 0.012695, 4.245605
18.164, 0.012573, 3.413086
18.115, 0.012573, 2.249756
18.066, 0.012451, 0.874023
18.018, 0.012573, -0.588379
17.969, 0.012573, -1.998291
17.92, 0.012939, -3.222656
17.871, 0.012939, -4.145508
17.822, 0.012573, -4.675293
17.773, 0.012939, -4.768066
17.725, 0.012695, -4.4104
17.676, 0.012451, -3.638916
17.627, 0.012939, -2.526855
17.578, 0.012695, -1.414795
17.529, 0.012817, 0.03418
17.48, 0.012817, 1.477051
17.432, 0.013062, 2.7771
17.383, 0.012939, 3.809814
17.334, 0.012817, 4.483643
17.285, 0.012695, 4.726562
17.236, 0.012573, 4.523926
17.188, 0.012817, 3.886719
17.139, 0.012695, 2.880859
17.09, 0.012573, 1.59668
17.041, 0.012695, 0.162354
16.992, 0.012817, -1.292725
16.943, 0.012817, -2.628174
16.895, 0.013062, -3.71582
16.846, 0.012817, -4.458008
16.797, 0.012817, -4.776611
16.748, 0.012573, -4.649658
16.699, 0.012695, -4.082031
16.65, 0.013062, -3.135986
16.602, 0.012573, -1.890869
16.553, 0.012817, -0.473633
16.504, 0.012817, 0.986328
16.455, 0.012695, 2.351074
16.406, 0.012573, 3.492432
16.357, 0.012695, 4.295654
16.309, 0.012695, 4.658203
16.26, 0.012695, 4.683838
16.211, 0.012695, 4.262695
16.162, 0.012817, 3.435059
16.113, 0.012939, 2.280273
16.064, 0.012573, 0.906982
16.016, 0.012573, -0.55542
15.967, 0.013062, -1.968994
15.918, 0.012573, -3.197021
15.869, 0.012817, -4.125977
15.82, 0.012817, -4.669189
15.771, 0.012451, -4.770508
15.723, 0.012817, -4.422607
15.674, 0.012817, -3.66333
15.625, 0.013062, -2.557373
15.576, 0.012939, -1.212158
15.527, 0.012939, 0.24292
15.479, 0.012695, 1.673584
15.43, 0.012939, 2.943115
15.381, 0.013062, 3.930664
15.332, 0.013184, 4.542236
15.283, 0.013062, 4.725342
15.234, 0.013062, 4.455566
15.186, 0.013184, 3.763428
15.137, 0.013062, 2.709961
15.088, 0.012939, 1.629639
15.039, 0.012695, 0.197754
14.99, 0.012817, -1.260986
14.941, 0.012695, -2.597656
14.893, 0.012817, -3.692627
14.844, 0.012939, -4.443359
14.795, 0.012573, -4.771729
14.746, 0.012817, -4.656982
14.697, 0.012817, -4.100342
14.648, 0.012939, -3.15918
14.6, 0.013184, -1.922607
14.551, 0.013062, -0.507812
14.502, 0.012939, 0.952148
14.453, 0.012817, 2.322998
14.404, 0.013062, 3.468018
14.355, 0.013184, 4.283447
14.307, 0.013184, 4.688721
14.258, 0.012573, 4.650879
14.209, 0.012817, 4.168701
14.16, 0.012817, 3.289795
14.111, 0.013062, 2.095947
14.063, 0.012817, 0.699463
14.014, 0.013184, -0.765381
13.965, 0.012695, -2.158203
13.916, 0.012695, -3.349609
13.867, 0.013062, -4.108887
13.818, 0.012939, -4.660645
13.77, 0.012573, -4.771729
13.721, 0.013062, -4.439697
13.672, 0.012817, -3.684082
13.623, 0.013062, -2.58667
13.574, 0.013062, -1.245117
13.525, 0.013062, 0.209961
13.477, 0.012939, 1.643066
13.428, 0.013062, 2.91748
13.379, 0.012939, 3.911133
13.33, 0.012939, 4.536133
13.281, 0.01355, 4.724121
13.232, 0.012817, 4.468994
13.184, 0.012939, 3.78418
13.135, 0.012817, 2.736816
13.086, 0.012939, 1.431885
13.037, 0.012939, -0.01709
12.988, 0.012817, -1.461182
12.939, 0.012451, -2.772217
12.891, 0.012695, -3.824463
12.842, 0.012085, -4.515381
12.793, 0.012817, -4.786377
12.744, 0.012695, -4.603271
12.695, 0.012695, -3.988037
12.646, 0.013062, -3.187256
12.598, 0.012329, -1.954346
12.549, 0.012817, -0.540771
12.5, 0.013062, 0.919189
12.451, 0.012573, 2.293701
12.402, 0.012573, 3.443604
12.354, 0.012817, 4.267578
12.305, 0.012939, 4.682617
12.256, 0.012817, 4.655762
12.207, 0.012817, 4.182129
12.158, 0.012451, 3.31543
12.109, 0.012329, 2.127686
12.061, 0.012451, 0.736084
12.012, 0.012329, -0.72876
11.963, 0.012817, -2.127686
11.914, 0.012939, -3.325195
11.865, 0.012451, -4.212646
11.816, 0.012939, -4.703369
11.768, 0.012573, -4.752197
11.719, 0.013062, -4.354248
11.67, 0.012573, -3.546143
11.621, 0.012695, -2.406006
11.572, 0.012695, -1.04248
11.523, 0.012695, 0.419922
11.475, 0.012573, 1.837158
11.426, 0.013062, 3.078613
11.377, 0.012695, 3.892822
11.328, 0.012695, 4.527588
11.279, 0.013062, 4.726562
11.23, 0.012695, 4.47998
11.182, 0.012695, 3.80249
11.133, 0.012451, 2.769775
11.084, 0.012451, 1.464844
11.035, 0.012451, 0.020752
10.986, 0.012695, -1.429443
10.938, 0.012817, -2.746582
10.889, 0.012695, -3.80249
10.84, 0.012573, -4.505615
10.791, 0.012573, -4.782715
10.742, 0.012695, -4.613037
10.693, 0.012573, -4.006348
10.645, 0.012695, -3.026123
10.596, 0.012695, -1.760254
10.547, 0.012695, -0.330811
10.498, 0.012695, 1.125488
10.449, 0.013062, 2.471924
10.4, 0.012695, 3.585205
10.352, 0.012817, 4.353027
10.303, 0.012573, 4.707031
10.254, 0.012695, 4.615479
10.205, 0.012695, 4.083252
10.156, 0.012817, 3.337402
10.107, 0.012817, 2.156982
10.059, 0.012573, 0.771484
10.01, 0.012451, -0.693359
9.961, 0.012695, -2.094727
9.912, 0.012695, -3.302002
9.863, 0.012451, -4.195557
9.814, 0.012573, -4.696045
9.766, 0.012329, -4.754639
9.717, 0.012573, -4.366455
9.668, 0.012939, -3.570557
9.619, 0.012817, -2.437744
9.57, 0.012451, -1.074219
9.521, 0.012939, 0.385742
9.473, 0.012573, 1.80542
9.424, 0.012817, 3.050537
9.375, 0.012695, 4.008789
9.326, 0.013062, 4.580078
9.277, 0.013062, 4.719238
9.229, 0.012939, 4.405518
9.18, 0.012939, 3.676758
9.131, 0.013062, 2.591553
9.082, 0.012939, 1.263428
9.033, 0.012817, -0.19165
8.984, 0.012939, -1.629639
8.936, 0.012817, -2.717285
8.887, 0.012817, -3.781738
8.838, 0.012817, -4.494629
8.789, 0.012939, -4.782715
8.74, 0.013062, -4.622803
8.691, 0.012817, -4.025879
8.643, 0.012939, -3.054199
8.594, 0.013306, -1.794434
8.545, 0.013062, -0.367432
8.496, 0.013062, 1.090088
8.447, 0.012939, 2.442627
8.398, 0.012817, 3.560791
8.35, 0.012939, 4.34082
8.301, 0.012817, 4.70459
8.252, 0.012939, 4.622803
8.203, 0.012939, 4.099121
8.154, 0.013184, 3.186035
8.105, 0.012939, 1.967773
8.057, 0.012573, 0.561523
8.008, 0.013062, -0.90332
7.959, 0.012817, -2.281494
7.91, 0.013062, -3.450928
7.861, 0.013306, -4.293213
7.813, 0.013184, -4.733887
7.764, 0.012817, -4.726562
7.715, 0.012817, -4.278564
7.666, 0.012817, -3.592529
7.617, 0.013428, -2.468262
7.568, 0.012939, -1.109619
7.52, 0.012817, 0.351562
7.471, 0.013306, 1.772461
7.422, 0.012695, 3.027344
7.373, 0.012939, 3.990479
7.324, 0.013184, 4.573975
7.275, 0.012817, 4.72168
7.227, 0.013062, 4.417725
7.178, 0.012695, 3.69873
7.129, 0.012817, 2.619629
7.08, 0.012695, 1.296387
7.031, 0.012939, -0.155029
6.982, 0.012329, -1.595459
6.934, 0.012695, -2.886963
6.885, 0.013062, -3.907471
6.836, 0.012695, -4.560547
6.787, 0.012939, -4.788818
6.738, 0.012939, -4.561768
6.689, 0.012939, -3.908691
6.641, 0.012695, -2.888184
6.592, 0.012817, -1.59668
6.543, 0.012817, -0.15625
6.494, 0.012817, 1.293945
6.445, 0.012939, 2.41333
6.396, 0.012695, 3.537598
6.348, 0.013062, 4.324951
6.299, 0.012939, 4.699707
6.25, 0.013062, 4.630127
6.201, 0.012939, 4.11377
6.152, 0.012939, 3.212891
6.104, 0.013062, 1.998291
6.055, 0.012695, 0.595703
6.006, 0.012695, -0.86792
5.957, 0.013062, -2.253418
5.908, 0.012451, -3.426514
5.859, 0.012695, -4.278564
5.811, 0.012573, -4.727783
5.762, 0.012695, -4.735107
5.713, 0.012573, -4.293213
5.664, 0.012817, -3.452148
5.615, 0.012817, -2.282715
5.566, 0.012817, -0.904541
5.518, 0.012939, 0.559082
5.469, 0.012939, 1.964111
5.42, 0.012939, 3.183594
5.371, 0.012695, 4.095459
5.322, 0.012451, 4.622803
5.273, 0.012817, 4.703369
5.225, 0.012817, 4.433594
5.176, 0.012817, 3.719482
5.127, 0.012695, 2.651367
5.078, 0.012695, 1.330566
5.029, 0.012573, -0.12085
4.98, 0.012939, -1.5625
4.932, 0.012573, -2.858887
4.883, 0.012573, -3.886719
4.834, 0.012695, -4.553223
4.785, 0.012939, -4.787598
4.736, 0.012451, -4.571533
4.688, 0.012695, -3.928223
4.639, 0.012817, -2.913818
4.59, 0.012451, -1.629639
4.541, 0.012695, -0.19043
4.492, 0.012695, 1.262207
4.443, 0.012695, 2.590332
4.395, 0.012817, 3.674316
4.346, 0.012939, 4.405518
4.297, 0.012695, 4.719238
4.248, 0.012939, 4.58252
4.199, 0.012695, 4.01001
4.15, 0.012573, 3.054199
4.102, 0.012573, 1.807861
4.053, 0.013062, 0.384521
4.004, 0.012573, -0.83374
3.955, 0.012573, -2.22168
3.906, 0.012939, -3.4021
3.857, 0.012451, -4.261475
3.809, 0.012817, -4.72168
3.76, 0.012573, -4.73877
3.711, 0.012695, -4.307861
3.662, 0.012451, -3.4729
3.613, 0.012573, -2.313232
3.564, 0.012817, -0.9375
3.516, 0.012573, 0.523682
3.467, 0.012939, 1.933594
3.418, 0.012817, 3.157959
3.369, 0.012695, 4.082031
3.32, 0.013062, 4.613037
3.271, 0.012451, 4.710693
3.223, 0.012939, 4.354248
3.174, 0.012817, 3.585205
3.125, 0.012695, 2.474365
3.076, 0.012939, 1.126709
3.027, 0.012695, -0.32959
2.979, 0.012817, -1.759033
2.93, 0.012939, -3.026123
2.881, 0.012939, -4.006348
2.832, 0.012939, -4.614258
2.783, 0.013062, -4.785156
2.734, 0.013062, -4.584961
2.686, 0.012573, -3.947754
2.637, 0.012573, -2.943115
2.588, 0.012817, -1.662598
2.539, 0.012817, -0.227051
2.49, 0.013062, 1.226807
2.441, 0.012939, 2.562256
2.393, 0.012939, 3.649902
2.344, 0.012695, 4.394531
2.295, 0.013306, 4.715576
2.246, 0.012939, 4.591064
2.197, 0.012817, 4.0271
2.148, 0.012817, 3.078613
2.1, 0.012939, 1.838379
2.051, 0.012939, 0.418701
2.002, 0.013062, -1.04126
1.953, 0.013062, -2.407227
1.904, 0.012939, -3.547363
1.855, 0.013306, -4.355469
1.807, 0.012939, -4.753418
1.758, 0.012695, -4.702148
1.709, 0.013062, -4.216309
1.66, 0.012939, -3.325195
1.611, 0.012939, -2.128906
1.563, 0.012939, -0.731201
1.514, 0.013062, 0.489502
1.465, 0.013306, 1.901855
1.416, 0.012817, 3.132324
1.367, 0.013062, 4.0625
1.318, 0.012817, 4.605713
1.27, 0.012817, 4.711914
1.221, 0.012939, 4.366455
1.172, 0.012939, 3.608398
1.123, 0.012817, 2.503662
1.074, 0.012817, 1.160889
1.025, 0.012817, -0.29541
976.563, 0.012695, -1.728516
927.734, 0.012573, -2.999268
878.906, 0.012939, -3.988037
830.078, 0.012817, -4.602051
781.25, 0.012939, -4.787598
732.422, 0.012817, -4.517822
683.594, 0.012817, -3.825684
634.766, 0.012695, -2.773438
585.938, 0.012939, -1.463623
537.109, 0.012817, -0.01709
488.281, 0.012573, 1.429443
439.453, 0.012695, 2.735596
390.625, 0.012817, 3.780518
341.797, 0.012573, 4.467773
292.969, 0.012817, 4.713135
244.141, 0.012817, 4.599609
195.313, 0.012695, 4.04541
146.484, 0.012695, 3.10791
97.656, 0.012939, 1.870117
48.828, 0.012573, 0.456543
0, 0.012817, -1.005859
-48.828, 0.012939, -2.376709
-97.656, 0.012817, -3.521729
-146.484, 0.012939, -4.3396
-195.313, 0.012939, -4.748535
-244.141, 0.012451, -4.710693
-292.969, 0.013184, -4.229736
-341.797, 0.012817, -3.35083
